match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
5,2011-04-10,Kings XI Punjab,Dr DY Patil Sports Academy,2.0,0,12,0,6.0,5,0,0
10,2011-04-13,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,4.0,0,18,1,4.5,13,0,0
16,2011-04-17,Delhi Daredevils,Dr DY Patil Sports Academy,4.0,0,29,1,7.25,6,0,0
21,2011-04-20,Mumbai Indians,Wankhede Stadium,3.0,0,14,1,4.67,8,0,0
29,2011-04-25,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",4.0,0,27,1,6.75,9,0,0
31,2011-04-27,Chennai Super Kings,Dr DY Patil Sports Academy,4.0,0,27,0,6.75,4,1,0
35,2011-04-29,Royal Challengers Bangalore,M Chinnaswamy Stadium,4.0,0,27,2,6.75,8,0,0
38,2011-05-01,Rajasthan Royals,Sawai Mansingh Stadium,4.0,1,13,3,3.25,17,0,0
44,2011-05-04,Mumbai Indians,Dr DY Patil Sports Academy,4.0,0,7,2,1.75,17,0,0
51,2011-05-08,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",4.0,0,17,2,4.25,12,0,0
53,2011-05-10,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",4.0,0,24,1,6.0,5,0,0
62,2011-05-16,Deccan Chargers,Dr DY Patil Sports Academy,4.0,0,25,2,6.25,10,1,0
65,2011-05-19,Kolkata Knight Riders,Dr DY Patil Sports Academy,4.0,0,29,0,7.25,11,0,0
68,2011-05-21,Delhi Daredevils,Feroz Shah Kotla,1.0,0,4,0,4.0,3,0,0
