match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2019-03-24,Mumbai Indians,Wankhede Stadium,3.0,0,42,1,14.0,2,0,0
5,2019-03-26,Chennai Super Kings,Arun Jaitley Stadium,4.0,0,16,0,4.0,15,0,0
16,2019-04-04,Sunrisers Hyderabad,Arun Jaitley Stadium,4.0,0,18,1,4.5,9,1,0
20,2019-04-07,Royal Challengers Bangalore,M.Chinnaswamy Stadium,4.0,0,22,1,5.5,8,0,0
26,2019-04-12,Kolkata Knight Riders,Eden Gardens,4.0,0,30,0,7.5,10,0,0
30,2019-04-14,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,2.0,0,23,0,11.5,2,0,0
34,2019-04-18,Mumbai Indians,Arun Jaitley Stadium,4.0,0,17,1,4.25,7,0,0
37,2019-04-20,Kings XI Punjab,Arun Jaitley Stadium,3.0,0,22,2,7.33,5,0,0
40,2019-04-22,Rajasthan Royals,Sawai Mansingh Stadium,4.0,0,39,1,9.75,5,0,0
46,2019-04-28,Royal Challengers Bangalore,Arun Jaitley Stadium,4.0,0,26,1,6.5,8,0,0
50,2019-05-01,Chennai Super Kings,MA Chidambaram Stadium,3.0,0,31,1,10.33,6,0,0
53,2019-05-04,Rajasthan Royals,Arun Jaitley Stadium,4.0,0,16,0,4.0,12,0,0
58,2019-05-08,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4.0,0,30,0,7.5,10,0,0
59,2019-05-10,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4.0,0,32,1,8.0,10,0,0
