innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Punjab Kings,Arshdeep Singh,3.0,0,30,2,10.0,5,1,0
1,Punjab Kings,HV Patel,4.0,0,45,0,11.25,5,4,0
1,Punjab Kings,Harpreet Brar,2.0,0,14,0,7.0,4,0,0
1,Punjab Kings,K Rabada,4.0,0,38,1,9.5,9,0,0
1,Punjab Kings,RD Chahar,3.0,0,42,1,14.0,1,0,0
1,Punjab Kings,SM Curran,4.0,0,28,3,7.0,10,0,0
2,Lucknow Super Giants,KH Pandya,3.0,0,26,0,8.67,5,0,0
2,Lucknow Super Giants,M Siddharth,2.0,0,21,0,10.5,5,0,0
2,Lucknow Super Giants,MP Yadav,4.0,0,27,3,6.75,11,0,0
2,Lucknow Super Giants,Mohsin Khan,4.0,0,34,2,8.5,10,1,0
2,Lucknow Super Giants,Naveen-ul-Haq,4.0,0,43,0,10.75,4,1,0
2,Lucknow Super Giants,Ravi Bishnoi,3.0,0,25,0,8.33,7,0,0
